state,gender,activity_code,count_distinct_person
"Jharkhand","female","Ironing/pressing/folding",10
"Jharkhand","female","Serving meals/snacks",805
"Jharkhand","female","Hand/machine-washing",1575
"Jharkhand","male","Growing of crops for the market in household enterprises",536
"Jharkhand","male","Personal hygiene and care",1277
"Jharkhand","male","Eating meals/snack",2755
"Jharkhand","female","Eating meals/snack",3720
"Jharkhand","female","Talking, conversing, chatting",1368
"Jharkhand","female","Activities associated with reflecting, resting, relaxing",761
"Jharkhand","male","Making, processing food products, beverages and tobacco for own final use",1
"Jharkhand","transgender","Other activities related to socializing and communication",1
"Jharkhand","male","Mining and quarrying for the market in household enterprises",12
"Karnataka","female","Breaks at place of formal education",15
"Karnataka","female","Meetings and arrangements with schools and child care service providers",1
"Karnataka","male","Employment in corporations, government and non-profit institutions",1041
"Karnataka","male","Talking, conversing, chatting",5048
"Karnataka","female","Indoor cleaning",1011
"Karnataka","female","Outdoor cleaning",302
"Karnataka","female","Hand/machine-washing",1435
"Karnataka","female","Personal hygiene and care",2713
"Karnataka","female","Commuting",1333
"Karnataka","female","Talking, conversing, chatting",4721
"Karnataka","female","Employment in corporations, government and non-profit institutions",400
"Karnataka","female","Eating meals/snack",7570
"Karnataka","female","Watching/listening to television and video",2705
"Karnataka","male","Transporting goods and passengers for pay or profit in household enterprises",498
"Karnataka","male","Watching/listening to television and video",2639
"Karnataka","male","Travelling time related to learning",1272
"Karnataka","male","School/university attendance",1334
"Karnataka","female","Caring for children including feeding, cleaning, physical care",1850
"Karnataka","female","Exercising",47
"Karnataka","male","Vending and trading of goods in household enterprises",606
"Karnataka","female","Growing crops and kitchen gardening, for own final use",2
"Karnataka","male","Shopping for/purchasing of goods and related activities",117
"Karnataka","male","Travelling related to care-giving services for household members",74
"Karnataka","female","Travelling time related to learning",1159
"Karnataka","female","Playing games and other pastime activities",203
"Karnataka","female","School/university attendance",1163
"Karnataka","female","Drinking other than with meal or snack",509
"Karnataka","female","Playing and sports with children",158
"Karnataka","male","Travelling time related to socializing and communication, community participation and religious practice",205
"Karnataka","female","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",32
"Karnataka","female","Preparing meals/snacks",2348
"Karnataka","male","Breaks at place of formal education",6
"Karnataka","female","Additional study, non-formal education and courses",13
"Karnataka","female","Private prayer, meditation and other spiritual activities",949
"Karnataka","female","Cleaning up after food preparation/meals/snacks",2951
"Karnataka","female","Providing paid domestic services",41
"Karnataka","male","Growing crops and kitchen gardening, for own final use",19
"Karnataka","male","Providing paid repair, installation, maintenance and disposal in household enterprises",136
"Karnataka","male","Playing games and other pastime activities",399
"Karnataka","male","Eating meals/snack",7081
"Karnataka","male","Daily pet care",15
"Karnataka","male","Exercising",148
"Karnataka","female","Drying textiles and clothing",482
"Karnataka","female","Other activities related to cleaning and upkeep of dwelling and surroundings",17
"Karnataka","male","Personal hygiene and care",2324
"Karnataka","male","Night sleep/essential sleep",82
"Karnataka","male","Commuting",4368
"Karnataka","male","Vehicle maintenance and repairs",49
"Karnataka","female","Raising animals for the market in household enterprises",89
"Karnataka","male","Construction activities for the market in household enterprises",652
"Karnataka","male","Playing and sports with children",183
"Karnataka","male","Assisting dependent adults with tasks of daily living",2
"Karnataka","female","Assisting dependent adults with tasks of daily living",9
"Karnataka","male","Receiving personal care from others",118
"Karnataka","female","Growing of crops for the market in household enterprises",765
"Karnataka","male","Raising animals for the market in household enterprises",234
"Karnataka","male","Growing of crops for the market in household enterprises",1945
"Karnataka","male","Fetching water from natural and other sources for own final use",93
"Karnataka","male","Hand/machine-washing",43
"Karnataka","male","Activities associated with reflecting, resting, relaxing",450
"Karnataka","female","Serving meals/snacks",1637
"Karnataka","female","Homework, being tutored, course review, research and activities related to formal education",211
"Karnataka","male","Drinking other than with meal or snack",667
"Karnataka","female","Tending furnace, boiler, fireplace for heating and water supply",54
"Karnataka","female","Activities associated with reflecting, resting, relaxing",762
"Karnataka","male","Homework, being tutored, course review, research and activities related to formal education",225
"Karnataka","female","Travelling related to care-giving services for household members",78
"Karnataka","female","Receiving personal care from others",92
"Karnataka","male","Private prayer, meditation and other spiritual activities",314
"Karnataka","male","Farming of animals and production of animal products for own final use",74
"Karnataka","male","Other activities related to formal education",319
"Karnataka","female","Farming of animals and production of animal products for own final use",33
"Karnataka","male","Installation, servicing and repair of personal and household goods including ICT equipment",1
"Karnataka","male","Culture, leisure, mass-media and sports practices",20
"Karnataka","male","Construction activities for own final use",8
"Karnataka","female","Other activities related to food and meals management and preparation",82
"Karnataka","male","Employment-related travel",42
"Karnataka","male","Making and processing goods for the market in household enterprises",322
"Karnataka","female","Gathering firewood and other natural products used as fuel for own final use",12
"Karnataka","female","Making and processing goods for the market in household enterprises",137
"Karnataka","female","Hunting, trapping and production of animal skins for own final use",1
"Karnataka","male","Cleaning up after food preparation/meals/snacks",65
"Karnataka","male","Travelling time related to culture, leisure, mass-media and sports practices",65
"Karnataka","male","Attendance at parks/gardens",6
"Karnataka","female","Travelling time related to socializing and communication, community participation and religious practice",200
"Karnataka","female","Participating in collective religious practice",14
"Karnataka","male","Other activities related to employment in household enterprises providing services",179
"Karnataka","female","Vending and trading of goods in household enterprises",104
"Karnataka","male","Ironing/pressing/folding",32
"Karnataka","male","Reading for leisure",128
"Karnataka","male","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",23
"Karnataka","male","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",46
"Karnataka","female","Incidental sleep/naps",45
"Karnataka","male","Incidental sleep/naps",44
"Karnataka","male","Other activities related to socializing and communication",1
"Karnataka","male","Caring for children including feeding, cleaning, physical care",197
"Karnataka","male","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",152
"Karnataka","male","Shopping for/availing of services and related activity",5
"Karnataka","female","Providing paid business and professional services in household enterprises",16
"Karnataka","male","Providing paid business and professional services in household enterprises",79
"Karnataka","male","Other activities related to employment in household enterprises to produce goods",50
"Karnataka","male","Outdoor cleaning",26
"Karnataka","female","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",63
"Karnataka","female","Shopping for/purchasing of goods and related activities",55
"Karnataka","female","Other activities related to employment in household enterprises providing services",44
"Karnataka","male","Travelling time related to self-care and maintenance activities",136
"Karnataka","female","Other activities related to formal education",269
"Karnataka","male","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",9
"Karnataka","male","Providing paid personal care services in household enterprises",50
"Karnataka","female","Reading for leisure",57
"Karnataka","female","Attendance at parks/gardens",4
"Karnataka","female","Ironing/pressing/folding",18
"Karnataka","male","Indoor cleaning",56
"Karnataka","male","Socializing/getting together/gathering activities",59
"Karnataka","male","Other activities related to care for non-dependent adult household members",3
"Karnataka","male","Providing medical care to children",1
"Karnataka","male","Unpaid volunteer preparing/serving meals, cleaning up",1
"Karnataka","male","Other activities related to unpaid caregiving services for household members ",1
"Karnataka","male","Participating in sports",6
"Karnataka","male","Making, processing of wood and bark products for own final use",1
"Karnataka","male","Accompanying own children",2
"Karnataka","female","Hobbies",1
"Karnataka","female","Other activities related to community- and organizationbased unpaid volunteering",1
"Karnataka","female","Visual, literary and performing arts (as hobby)",1
"Karnataka","female","Providing paid repair, installation, maintenance and disposal in household enterprises",1
"Karnataka","male","Other activities related to cultural participation, hobbies, games",1
"Karnataka","male","Attendance at organized/mass cultural events and shows",2
"Karnataka","female","Other activities related to receiving personal and health/medical care",1
"Karnataka","male","Involvement in civic and related responsibilities",1
"Karnataka","female","Other unpaid domestic services for household members",25
"Karnataka","female","Forestry and logging for the market in household enterprises",1
"Karnataka","female","Other activities related to care for non-dependent adult household members",4
"Karnataka","male","Unpaid volunteer office/administrative work",2
"Karnataka","female","Budgeting, planning, organizing duties and activities in the household",1
"Karnataka","female","Do-it-yourself improvement, maintenance and repair of own dwelling",1
"Karnataka","male","Other activities related to childcare and instruction",1
"Karnataka","female","Travelling time related to self-care and maintenance activities",34
"Karnataka","female","Culture, leisure, mass-media and sports practices",20
"Karnataka","female","Other self-care and maintenance activities",11
"Karnataka","female","Self-study for distance education course work (video, audio, online)",6
"Karnataka","female","Daily pet care",14
"Karnataka","male","Fishing for the market in household enterprises",9
"Karnataka","female","Storing, arranging, preserving food stocks",182
"Karnataka","female","Talking with and reading to children",50
"Karnataka","female","Instructing, teaching, training, helping children",7
"Karnataka","female","Other activities related to employment in household enterprises to produce goods",21
"Karnataka","female","Making, processing textiles, wearing apparel, leather and related products for own final use",4
"Karnataka","male","Gathering firewood and other natural products used as fuel for own final use",9
"Karnataka","male","Other activities related to receiving personal and health/medical care",3
"Karnataka","male","Storing, arranging, preserving food stocks",7
"Karnataka","male","Travelling time related to unpaid volunteer, trainee and other unpaid work",4
"Karnataka","male","Other activities related to community- and organizationbased unpaid volunteering",1
"Karnataka","female","Receiving health/medical care from others",11
"Karnataka","female","Construction activities for the market in household enterprises",54
"Karnataka","male","Health/medical care to oneself",62
"Karnataka","female","Health/medical care to oneself",64
"Karnataka","female","Other activities related to childcare and instruction",6
"Karnataka","male","Other activities related to personal hygiene and care",21
"Karnataka","female","Other activities related to personal hygiene and care",23
"Karnataka","female","Other activities related to mass media use",28
"Karnataka","female","Other activities related to pet care",2
"Karnataka","male","Recycling and disposal of garbage",46
"Karnataka","female","Employment-related travel",4
"Karnataka","female","Other activities related to do-it-yourself decoration, maintenance and repair",4
"Karnataka","male","Participating in collective religious practice",18
"Karnataka","male","Tending furnace, boiler, fireplace for heating and water supply",12
"Karnataka","female","Participating in community celebrations of cultural/historic events",2
"Karnataka","female","Minding children (passive care)",45
"Karnataka","female","Fetching water from natural and other sources for own final use",205
"Karnataka","male","Other activities related to learning",9
"Karnataka","male","Preparing meals/snacks",167
"Karnataka","male","Serving meals/snacks",17
"Karnataka","male","Activities ancillary to employment",36
"Karnataka","male","Making, processing metals and metal products for own final use",1
"Karnataka","male","Do-it-yourself improvement, maintenance and repair of own dwelling",3
"Karnataka","male","Minding children (passive care)",6
"Karnataka","female","Feeding, cleaning, physical care for non-dependent adult household members including for temporary illness",6
"Karnataka","male","Listening to radio and audio devices",221
"Karnataka","male","Extra-curricular activities",11
"Karnataka","female","Unpaid volunteer childcare and instruction",19
"Karnataka","male","Self-study for distance education course work (video, audio, online)",9
"Karnataka","male","Drying textiles and clothing",23
"Karnataka","male","Other self-care and maintenance activities",5
"Karnataka","female","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",12
"Karnataka","male","Receiving health/medical care from others",10
"Karnataka","female","Recycling and disposal of garbage",17
"Karnataka","female","Sleeplessness",7
"Karnataka","female","Listening to radio and audio devices",59
"Karnataka","female","Other activities related to household management",6
"Karnataka","female","Socializing/getting together/gathering activities",24
"Karnataka","male","Forestry and logging for the market in household enterprises",9
"Karnataka","male","Accompanying non-dependent adult household members",2
"Karnataka","male","Feeding, cleaning, physical care for non-dependent adult household members including for temporary illness",1
"Karnataka","male","Other activities related to cleaning and upkeep of dwelling and surroundings",6
"Karnataka","female","Other activities related to learning",18
"Karnataka","female","Transporting goods and passengers for pay or profit in household enterprises",2
"Karnataka","male","Talking with and reading to children",32
"Karnataka","female","Unpaid volunteer household maintenance, management, construction, renovation and repair",6
"Karnataka","female","Gathering wild products for own final use",2
"Karnataka","female","Making, processing of products using other materials for own final use",1
"Karnataka","male","Unpaid volunteer childcare and instruction",10
"Karnataka","male","Breaks during working time within employment",13
"Karnataka","female","Making, processing food products, beverages and tobacco for own final use",9
"Karnataka","female","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",20
"Karnataka","male","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",24
"Karnataka","female","Other activities related to care for dependent adults",2
"Karnataka","male","Making, processing food products, beverages and tobacco for own final use",1
"Karnataka","female","Night sleep/essential sleep",32
"Karnataka","male","Other activities related to food and meals management and preparation",10
"Karnataka","male","Sleeplessness",15
"Karnataka","female","Unpaid volunteer preparing/serving meals, cleaning up",2
"Karnataka","female","Accompanying own children",6
"Karnataka","female","Mining and quarrying for the market in household enterprises",1
"Karnataka","female","Accompanying non-dependent adult household members",1
"Karnataka","female","Unpaid volunteer care for adults",3
"Karnataka","male","Seeking employment",20
"Karnataka","male","Paying household bills",2
"Karnataka","female","Activities ancillary to employment",7
"Karnataka","female","Providing paid personal care services in household enterprises",8
"Karnataka","female","Involvement in civic and related responsibilities",2
"Karnataka","female","Paying household bills",3
"Karnataka","female","Other activities related to socializing and communication",1
"Karnataka","male","Participating in community social functions (music, dance, etc.)",3
"Karnataka","female","Participating in community social functions (music, dance, etc.)",4
"Karnataka","female","Fishing for the market in household enterprises",1
"Karnataka","female","Breaks during working time within employment",4
"Karnataka","male","Budgeting, planning, organizing duties and activities in the household",2
"Karnataka","female","Assisting dependent adults with medical care",4
"Karnataka","male","Other activities related to mass media use",68
"Karnataka","female","Other activities related to care of textiles and footwear",1
"Karnataka","male","Mining and quarrying for the market in household enterprises",12
"Karnataka","female","Extra-curricular activities",6
"Karnataka","female","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",47
"Karnataka","male","Other activities related to do-it-yourself decoration, maintenance and repair",2
"Karnataka","female","Other activities related to religious practice",10
"Karnataka","male","Reading and writing mail (including email)",17
"Karnataka","female","Reading and writing mail (including email)",6
"Karnataka","female","Other activities related to unpaid caregiving services for household members ",5
"Karnataka","female","Other sleep and related activities",2
"Karnataka","male","Fishing for own final use",1
"Karnataka","female","Seeking employment",6
"Karnataka","male","Other activities related to religious practice",8
"Karnataka","male","Other activities related to culture, leisure, mass-media and sports practices",2
"Karnataka","female","Travelling time related to culture, leisure, mass-media and sports practices",12
"Karnataka","male","Other sleep and related activities",2
"Karnataka","female","Passive care of dependent adult",3
"Karnataka","male","Instructing, teaching, training, helping children",8
"Karnataka","female","Making, processing herbal and medicinal preparations for own final use",1
"Karnataka","male","Participating in community celebrations of cultural/historic events",1
"Karnataka","female","Travelling time related to unpaid volunteer, trainee and other unpaid work",7
"Karnataka","male","Unpaid volunteer household maintenance, management, construction, renovation and repair",1
"Karnataka","male","Additional study, non-formal education and courses",24
"Karnataka","male","Other unpaid domestic services for household members",1
"Karnataka","male","Acquiring supplies and disposing of products and other activities related to making and processing goods for own final use",1
"Karnataka","male","Providing paid domestic services",12
"Karnataka","female","Providing medical care to children",8
"Karnataka","male","Other unpaid work activities",1
"Karnataka","female","Unpaid volunteer activities in enterprises owned by other households",1
"Karnataka","male","Training and studies in relation to employment",5
"Karnataka","female","Unpaid volunteer shopping/purchasing goods and services",2
"Karnataka","female","Attendance at organized/mass cultural events and shows",3
"Karnataka","male","Other activities related to household management",2
"Kerala","female","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",93
"Kerala","male","Other activities related to food and meals management and preparation",3
"Kerala","male","Hand/machine-washing",55
"Kerala","male","Travelling time related to socializing and communication, community participation and religious practice",364
"Kerala","male","Reading for leisure",308
"Kerala","female","Shopping for/purchasing of goods and related activities",86
"Kerala","female","Other activities related to culture, leisure, mass-media and sports practices",3
"Kerala","female","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",100
"Kerala","male","Shopping for/purchasing of goods and related activities",179
"Kerala","male","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",212
"Kerala","male","Incidental sleep/naps",87
"Kerala","female","Indoor cleaning",950
"Kerala","female","Reading for leisure",305
"Kerala","female","Drying textiles and clothing",570
"Kerala","male","Watching/listening to television and video",1302
"Kerala","male","Night sleep/essential sleep",344
"Kerala","male","Forestry and logging for the market in household enterprises",18
"Kerala","male","Commuting",1273
"Kerala","female","Talking, conversing, chatting",2160
"Kerala","female","Hand/machine-washing",1269
"Kerala","female","Preparing meals/snacks",1518
"Kerala","female","Unpaid volunteer childcare and instruction",45
"Kerala","male","Talking, conversing, chatting",1758
"Kerala","male","Personal hygiene and care",1297
"Kerala","male","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",77
"Kerala","male","School/university attendance",693
"Kerala","male","Travelling time related to learning",673
"Kerala","male","Eating meals/snack",2799
"Kerala","female","Cleaning up after food preparation/meals/snacks",1401
"Kerala","female","Eating meals/snack",3762
"Kerala","female","Personal hygiene and care",1415
"Kerala","male","Vending and trading of goods in household enterprises",465
"Kerala","female","Watching/listening to television and video",1201
"Kerala","female","Travelling time related to socializing and communication, community participation and religious practice",310
"Kerala","female","Serving meals/snacks",411
"Kerala","female","Daily pet care",62
"Kerala","female","Socializing/getting together/gathering activities",134
"Kerala","female","Commuting",627
"Kerala","female","Vending and trading of goods in household enterprises",140
"Kerala","male","Breaks at place of formal education",17
"Kerala","female","School/university attendance",757
"Kerala","female","Breaks at place of formal education",11
"Kerala","female","Travelling time related to learning",759
"Kerala","female","Activities associated with reflecting, resting, relaxing",1165
"Kerala","male","Growing of crops for the market in household enterprises",270
"Kerala","female","Travelling time related to self-care and maintenance activities",60
"Kerala","female","Incidental sleep/naps",90
"Kerala","female","Receiving health/medical care from others",46
"Kerala","male","Accompanying non-dependent adult household members",12
"Kerala","male","Listening to radio and audio devices",59
"Kerala","male","Health/medical care to oneself",85
"Kerala","female","Fetching water from natural and other sources for own final use",24
"Kerala","male","Mining and quarrying for the market in household enterprises",7
"Kerala","female","Other activities related to employment in household enterprises providing services",61
"Kerala","female","Growing of crops for the market in household enterprises",73
"Kerala","female","Additional study, non-formal education and courses",124
"Kerala","female","Caring for children including feeding, cleaning, physical care",845
"Kerala","male","Providing paid repair, installation, maintenance and disposal in household enterprises",134
"Kerala","male","Socializing/getting together/gathering activities",177
"Kerala","female","Travelling related to care-giving services for household members",64
"Kerala","female","Other activities related to personal hygiene and care",15
"Kerala","female","Providing paid repair, installation, maintenance and disposal in household enterprises",7
"Kerala","female","Other activities related to cleaning and upkeep of dwelling and surroundings",16
"Kerala","male","Transporting goods and passengers for pay or profit in household enterprises",289
"Kerala","male","Employment in corporations, government and non-profit institutions",337
"Kerala","female","Other activities related to childcare and instruction",4
"Kerala","female","Employment in corporations, government and non-profit institutions",413
"Kerala","female","Providing paid business and professional services in household enterprises",108
"Kerala","male","Activities associated with reflecting, resting, relaxing",739
"Kerala","female","Unpaid volunteer household maintenance, management, construction, renovation and repair",36
"Kerala","female","Participating in collective religious practice",128
"Kerala","female","Other activities related to care for non-dependent adult household members",3
"Kerala","female","Listening to radio and audio devices",49
"Kerala","female","Self-study for distance education course work (video, audio, online)",13
"Kerala","female","Minding children (passive care)",174
"Kerala","male","Participating in collective religious practice",93
"Kerala","female","Growing crops and kitchen gardening, for own final use",90
"Kerala","male","Other activities related to employment in household enterprises providing services",101
"Kerala","female","Private prayer, meditation and other spiritual activities",95
"Kerala","female","Making and processing goods for the market in household enterprises",109
"Kerala","female","Accompanying own children",23
"Kerala","male","Travelling time related to unpaid volunteer, trainee and other unpaid work",35
"Kerala","male","Outdoor cleaning",60
"Kerala","male","Additional study, non-formal education and courses",91
"Kerala","male","Unpaid volunteer care for adults",7
"Kerala","female","Outdoor cleaning",505
"Kerala","male","Travelling time related to culture, leisure, mass-media and sports practices",49
"Kerala","male","Assisting dependent adults with tasks of daily living",5
"Kerala","female","Receiving personal care from others",75
"Kerala","female","Health/medical care to oneself",117
"Kerala","male","Making and processing goods for the market in household enterprises",186
"Kerala","male","Preparing meals/snacks",99
"Kerala","male","Participating in community social functions (music, dance, etc.)",3
"Kerala","female","Providing paid domestic services",75
"Kerala","male","Do-it-yourself improvement, maintenance and repair of own dwelling",14
"Kerala","female","Assisting dependent adults with tasks of daily living",50
"Kerala","male","Receiving personal care from others",67
"Kerala","male","Attendance at organized/mass cultural events and shows",2
"Kerala","male","Daily pet care",55
"Kerala","male","Providing paid business and professional services in household enterprises",143
"Kerala","female","Unpaid trainee work and related activities",2
"Kerala","male","Minding children (passive care)",31
"Kerala","female","Playing and sports with children",44
"Kerala","female","Drinking other than with meal or snack",130
"Kerala","male","Gathering firewood and other natural products used as fuel for own final use",10
"Kerala","male","Unpaid volunteer preparing/serving meals, cleaning up",6
"Kerala","female","Unpaid volunteer preparing/serving meals, cleaning up",4
"Kerala","female","Providing paid personal care services in household enterprises",25
"Kerala","male","Providing paid personal care services in household enterprises",21
"Kerala","female","Playing games and other pastime activities",125
"Kerala","male","Playing games and other pastime activities",179
"Kerala","male","Travelling time related to self-care and maintenance activities",70
"Kerala","male","Unpaid volunteer office/administrative work",4
"Kerala","female","Gathering firewood and other natural products used as fuel for own final use",36
"Kerala","male","Making, processing of wood and bark products for own final use",1
"Kerala","female","Homework, being tutored, course review, research and activities related to formal education",175
"Kerala","female","Night sleep/essential sleep",135
"Kerala","female","Unpaid volunteer care for adults",21
"Kerala","female","Talking with and reading to children",89
"Kerala","male","Growing crops and kitchen gardening, for own final use",120
"Kerala","female","Travelling time related to unpaid volunteer, trainee and other unpaid work",20
"Kerala","male","Activities ancillary to employment",53
"Kerala","female","Farming of animals and production of animal products for own final use",40
"Kerala","male","Unpaid volunteer activities in enterprises owned by other households",7
"Kerala","male","Caring for children including feeding, cleaning, physical care",72
"Kerala","male","Travelling related to care-giving services for household members",49
"Kerala","male","Drinking other than with meal or snack",234
"Kerala","male","Playing and sports with children",43
"Kerala","male","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",50
"Kerala","female","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",51
"Kerala","female","Employment-related travel",8
"Kerala","female","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",10
"Kerala","male","Employment-related travel",38
"Kerala","male","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",15
"Kerala","female","Visual, literary and performing arts (as hobby)",5
"Kerala","male","Cleaning up after food preparation/meals/snacks",54
"Kerala","male","Homework, being tutored, course review, research and activities related to formal education",135
"Kerala","male","Construction activities for the market in household enterprises",573
"Kerala","male","Instructing, teaching, training, helping children",3
"Kerala","male","Attendance at sports events",2
"Kerala","male","Aquaculture for the market in household enterprises",1
"Kerala","female","Unpaid volunteer shopping/purchasing goods and services",1
"Kerala","male","Unpaid trainee work and related activities",1
"Kerala","female","Other sleep and related activities",3
"Kerala","male","Other activities related to do-it-yourself decoration, maintenance and repair",1
"Kerala","male","Meetings and arrangements with schools and child care service providers",2
"Kerala","female","Affective/emotional support for dependent adults",1
"Kerala","female","Other activities related to cultural participation, hobbies, games",1
"Kerala","female","Installation, servicing and repair of personal and household goods including ICT equipment",1
"Kerala","female","Affective/emotional support for non-dependent adult household members",1
"Kerala","male","Other activities related to formal education",4
"Kerala","female","Other activities related to religious practice",2
"Kerala","male","Making, processing food products, beverages and tobacco for own final use",1
"Kerala","male","Unpaid volunteer cultural activities, recreation and sports activities",3
"Kerala","female","Extra-curricular activities",2
"Kerala","male","Paying household bills",2
"Kerala","female","Attendance at parks/gardens",2
"Kerala","male","Attendance at parks/gardens",2
"Kerala","female","Budgeting, planning, organizing duties and activities in the household",2
"Kerala","female","Making, processing textiles, wearing apparel, leather and related products for own final use",4
"Kerala","female","Other activities related to community- and organizationbased unpaid volunteering",1
"Kerala","male","Talking with and reading to children",41
"Kerala","male","Ironing/pressing/folding",30
"Kerala","male","Raising animals for the market in household enterprises",56
"Kerala","male","Other activities related to cultural participation, hobbies, games",1
"Kerala","male","Other activities related to employment in household enterprises to produce goods",7
"Kerala","male","Receiving health/medical care from others",35
"Kerala","male","Shopping for/availing of services and related activity",12
"Kerala","female","Construction activities for the market in household enterprises",13
"Kerala","male","Fetching water from natural and other sources for own final use",5
"Kerala","male","Construction activities for own final use",12
"Kerala","male","Feeding, cleaning, physical care for non-dependent adult household members including for temporary illness",5
"Kerala","male","Other activities related to mass media use",83
"Kerala","female","Raising animals for the market in household enterprises",33
"Kerala","female","Other activities related to employment in household enterprises to produce goods",3
"Kerala","male","Private prayer, meditation and other spiritual activities",49
"Kerala","male","Drying textiles and clothing",19
"Kerala","female","Hobbies",2
"Kerala","male","Hobbies",7
"Kerala","male","Unpaid volunteer childcare and instruction",13
"Kerala","male","Other activities related to community participation",5
"Kerala","female","Feeding, cleaning, physical care for non-dependent adult household members including for temporary illness",13
"Kerala","female","Other activities related to learning",3
"Kerala","female","Training and studies in relation to employment",2
"Kerala","male","Accompanying own children",8
"Kerala","male","Recycling and disposal of garbage",7
"Kerala","male","Involvement in civic and related responsibilities",3
"Kerala","female","Instructing, teaching, training, helping children",18
"Kerala","male","Other activities related to unpaid caregiving services for household members ",5
"Kerala","male","Serving meals/snacks",9
"Kerala","female","Unpaid volunteer activities in enterprises owned by other households",1
"Kerala","female","Other activities related to mass media use",47
"Kerala","male","Indoor cleaning",43
"Kerala","female","Construction activities for own final use",3
"Kerala","male","Unpaid volunteer household maintenance, management, construction, renovation and repair",10
"Kerala","male","Breaks during working time within employment",57
"Kerala","male","Installation, servicing and repair of personal and household goods including ICT equipment",6
"Kerala","female","Tending furnace, boiler, fireplace for heating and water supply",6
"Kerala","male","Exercising",40
"Kerala","male","Forestry and logging for own final use",1
"Kerala","female","Unpaid volunteer office/administrative work",3
"Kerala","male","Seeking employment",13
"Kerala","female","Meetings and arrangements with schools and child care service providers",5
"Kerala","female","Exercising",29
"Kerala","male","Participating in community celebrations of cultural/historic events",6
"Kerala","male","Other activities related to receiving personal and health/medical care",3
"Kerala","male","Storing, arranging, preserving food stocks",2
"Kerala","male","Other activities related to cleaning and upkeep of dwelling and surroundings",8
"Kerala","female","Sleeplessness",1
"Kerala","female","Forestry and logging for own final use",1
"Kerala","female","Recycling and disposal of garbage",19
"Kerala","male","Other activities related to socializing and communication",11
"Kerala","female","Other activities related to socializing and communication",8
"Kerala","male","Vehicle maintenance and repairs",13
"Kerala","female","Accompanying non-dependent adult household members",13
"Kerala","female","Other unpaid domestic services for household members",11
"Kerala","male","Providing paid domestic services",5
"Kerala","female","Other activities related to direct unpaid volunteering for other households",10
"Kerala","female","Storing, arranging, preserving food stocks",15
"Kerala","male","Other activities related to learning",2
"Kerala","male","Unpaid volunteer work on road/building repair, clearing and preparing land, cleaning (streets, markets, etc.), and construction",3
"Kerala","female","Passive care of dependent adult",7
"Kerala","male","Participating in sports",10
"Kerala","male","Farming of animals and production of animal products for own final use",13
"Kerala","female","Activities ancillary to employment",10
"Kerala","male","Other activities related to culture, leisure, mass-media and sports practices",6
"Kerala","male","Fishing for the market in household enterprises",38
"Kerala","female","Other activities related to unpaid caregiving services for household members ",13
"Kerala","female","Ironing/pressing/folding",55
"Kerala","male","Passive care of dependent adult",2
"Kerala","male","Assisting dependent adults with medical care",2
"Kerala","female","Do-it-yourself improvement, maintenance and repair of own dwelling",1
"Kerala","male","Setting up a business",1
"Kerala","male","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",4
"Kerala","female","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",5
"Kerala","male","Other activities related to childcare and instruction",1
"Kerala","female","Other self-care and maintenance activities",4
"Kerala","male","Other activities related to pet care",2
"Kerala","male","Fishing for own final use",2
"Kerala","male","Other activities related to care for non-dependent adult household members",1
"Kerala","male","Other unpaid work activities",3
"Kerala","male","Other activities related to direct unpaid volunteering for other households",2
"Kerala","female","Shopping for/availing of services and related activity",13
"Kerala","male","Extra-curricular activities",4
"Kerala","male","Unpaid volunteer shopping/purchasing goods and services",2
"Kerala","male","Other self-care and maintenance activities",8
"Kerala","female","Other activities related to community participation",2
"Kerala","female","Other activities related to formal education",6
"Kerala","female","Reading and writing mail (including email)",4
"Kerala","female","Seeking employment",6
"Kerala","male","Other activities related to community- and organizationbased unpaid volunteering",6
"Kerala","male","Other activities related to religious practice",11
"Kerala","female","Transporting goods and passengers for pay or profit in household enterprises",2
"Kerala","female","Providing medical care to children",5
"Kerala","female","Breaks during working time within employment",13
"Kerala","male","Reading and writing mail (including email)",4
"Kerala","female","Other activities related to care for dependent adults",1
